context_id,length,total_samples,eligible_sequences,terminated_before_length,canonical_sequences,noncanonical_sequences,canonical_percentage,canonical_ci95_low,canonical_ci95_high
document-001,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-001,128,16,14,2,14,0,100.0,78.46891972623644,100.0
document-001,256,16,2,14,2,0,100.0,34.2380227506653,100.0
document-001,512,16,0,16,0,0,,,
document-001,1024,16,0,16,0,0,,,
document-001,2048,16,0,16,0,0,,,
document-002,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-002,256,16,7,9,7,0,100.0,64.56695649333126,100.0
document-002,512,16,0,16,0,0,,,
document-002,1024,16,0,16,0,0,,,
document-002,2048,16,0,16,0,0,,,
document-003,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-003,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-003,128,16,11,5,11,0,100.0,74.11670330319684,100.0
document-003,256,16,4,12,4,0,100.0,51.01091635454027,100.0
document-003,512,16,0,16,0,0,,,
document-003,1024,16,0,16,0,0,,,
document-003,2048,16,0,16,0,0,,,
document-004,32,16,15,1,15,0,100.0,79.61166989641515,100.0
document-004,64,16,14,2,14,0,100.0,78.46891972623644,100.0
document-004,128,16,8,8,8,0,100.0,67.55924351161198,100.0
document-004,256,16,2,14,2,0,100.0,34.2380227506653,100.0
document-004,512,16,0,16,0,0,,,
document-004,1024,16,0,16,0,0,,,
document-004,2048,16,0,16,0,0,,,
document-005,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-005,128,16,15,1,15,0,100.0,79.61166989641515,100.0
document-005,256,16,5,11,5,0,100.0,56.551753521682514,100.0
document-005,512,16,0,16,0,0,,,
document-005,1024,16,0,16,0,0,,,
document-005,2048,16,0,16,0,0,,,
document-006,32,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-006,64,16,16,0,14,2,87.5,63.97717273424131,96.50225122567595
document-006,128,16,10,6,8,2,80.0,49.01624715366418,94.33178485456247
document-006,256,16,2,14,2,0,100.0,34.2380227506653,100.0
document-006,512,16,0,16,0,0,,,
document-006,1024,16,0,16,0,0,,,
document-006,2048,16,0,16,0,0,,,
document-007,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-007,64,16,14,2,14,0,100.0,78.46891972623644,100.0
document-007,128,16,11,5,10,1,90.9090909090909,62.26415635484043,98.37678271141151
document-007,256,16,7,9,6,1,85.71428571428571,48.68721707256811,97.43203756552565
document-007,512,16,1,15,0,1,0.0,0.0,79.34506856227625
document-007,1024,16,0,16,0,0,,,
document-007,2048,16,0,16,0,0,,,
document-008,32,16,16,0,13,3,81.25,56.991119038025865,93.40840092857187
document-008,64,16,12,4,10,2,83.33333333333333,55.19691377470266,95.30348578161463
document-008,128,16,4,12,4,0,100.0,51.01091635454027,100.0
document-008,256,16,0,16,0,0,,,
document-008,512,16,0,16,0,0,,,
document-008,1024,16,0,16,0,0,,,
document-008,2048,16,0,16,0,0,,,
document-009,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,128,16,16,0,16,0,100.0,80.63923194655636,100.0
document-009,256,16,15,1,15,0,100.0,79.61166989641515,100.0
document-009,512,16,4,12,3,1,75.0,30.064184258240186,95.44127391902994
document-009,1024,16,0,16,0,0,,,
document-009,2048,16,0,16,0,0,,,
document-010,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-010,128,16,16,0,15,1,93.75,71.67126242970106,98.88806552353576
document-010,256,16,13,3,10,3,76.92307692307692,49.7436240532725,91.82047128150143
document-010,512,16,0,16,0,0,,,
document-010,1024,16,0,16,0,0,,,
document-010,2048,16,0,16,0,0,,,
document-011,32,16,15,1,15,0,100.0,79.61166989641515,100.0
document-011,64,16,14,2,14,0,100.0,78.46891972623644,100.0
document-011,128,16,7,9,6,1,85.71428571428571,48.68721707256811,97.43203756552565
document-011,256,16,1,15,0,1,0.0,0.0,79.34506856227625
document-011,512,16,0,16,0,0,,,
document-011,1024,16,0,16,0,0,,,
document-011,2048,16,0,16,0,0,,,
document-012,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-012,64,16,14,2,14,0,100.0,78.46891972623644,100.0
document-012,128,16,8,8,8,0,100.0,67.55924351161198,100.0
document-012,256,16,1,15,1,0,100.0,20.654931437723747,100.0
document-012,512,16,0,16,0,0,,,
document-012,1024,16,0,16,0,0,,,
document-012,2048,16,0,16,0,0,,,
document-013,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-013,64,16,13,3,13,0,100.0,77.19046276458016,99.99999999999999
document-013,128,16,5,11,5,0,100.0,56.551753521682514,100.0
document-013,256,16,0,16,0,0,,,
document-013,512,16,0,16,0,0,,,
document-013,1024,16,0,16,0,0,,,
document-013,2048,16,0,16,0,0,,,
document-014,32,16,14,2,14,0,100.0,78.46891972623644,100.0
document-014,64,16,10,6,10,0,100.0,72.24672001371107,99.99999999999999
document-014,128,16,8,8,7,1,87.5,52.91118177871464,97.75825085499433
document-014,256,16,2,14,2,0,100.0,34.2380227506653,100.0
document-014,512,16,1,15,0,1,0.0,0.0,79.34506856227625
document-014,1024,16,0,16,0,0,,,
document-014,2048,16,0,16,0,0,,,
document-015,32,16,11,5,10,1,90.9090909090909,62.26415635484043,98.37678271141151
document-015,64,16,6,10,5,1,83.33333333333333,43.64971778135299,96.99466302516934
document-015,128,16,4,12,3,1,75.0,30.064184258240186,95.44127391902994
document-015,256,16,2,14,2,0,100.0,34.2380227506653,100.0
document-015,512,16,1,15,1,0,100.0,20.654931437723747,100.0
document-015,1024,16,0,16,0,0,,,
document-015,2048,16,0,16,0,0,,,
document-016,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-016,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-016,128,16,9,7,9,0,100.0,70.08549515804559,100.0
document-016,256,16,2,14,2,0,100.0,34.2380227506653,100.0
document-016,512,16,0,16,0,0,,,
document-016,1024,16,0,16,0,0,,,
document-016,2048,16,0,16,0,0,,,
document-017,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-017,64,16,15,1,15,0,100.0,79.61166989641515,100.0
document-017,128,16,14,2,14,0,100.0,78.46891972623644,100.0
document-017,256,16,7,9,7,0,100.0,64.56695649333126,100.0
document-017,512,16,0,16,0,0,,,
document-017,1024,16,0,16,0,0,,,
document-017,2048,16,0,16,0,0,,,
document-018,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-018,64,16,16,0,16,0,100.0,80.63923194655636,100.0
document-018,128,16,13,3,13,0,100.0,77.19046276458016,99.99999999999999
document-018,256,16,2,14,2,0,100.0,34.2380227506653,100.0
document-018,512,16,0,16,0,0,,,
document-018,1024,16,0,16,0,0,,,
document-018,2048,16,0,16,0,0,,,
document-019,32,16,16,0,16,0,100.0,80.63923194655636,100.0
document-019,64,16,15,1,15,0,100.0,79.61166989641515,100.0
