scope,context_id,segment_count,rollouts,percentage
context,unconditional,0,12,18.75
context,unconditional,1,14,21.875
context,unconditional,2,6,9.375
context,unconditional,3,6,9.375
context,unconditional,4,9,14.0625
context,unconditional,5,3,4.6875
context,unconditional,6,2,3.125
context,unconditional,7,2,3.125
context,unconditional,8,2,3.125
context,unconditional,9,1,1.5625
context,unconditional,10,1,1.5625
context,unconditional,11,1,1.5625
context,unconditional,12,1,1.5625
context,unconditional,13,1,1.5625
context,unconditional,20,1,1.5625
context,unconditional,22,1,1.5625
context,unconditional,29,1,1.5625
pooled,,0,12,18.75
pooled,,1,14,21.875
pooled,,2,6,9.375
pooled,,3,6,9.375
pooled,,4,9,14.0625
pooled,,5,3,4.6875
pooled,,6,2,3.125
pooled,,7,2,3.125
pooled,,8,2,3.125
pooled,,9,1,1.5625
pooled,,10,1,1.5625
pooled,,11,1,1.5625
pooled,,12,1,1.5625
pooled,,13,1,1.5625
pooled,,20,1,1.5625
pooled,,22,1,1.5625
pooled,,29,1,1.5625
